Disease_Name,Symptom_List
Salmonella enterocolitis,"['Abdominal pain, cramping, or tenderness ', ' Vomiting ', ' Chills ', ' Muscle pain ', ' Diarrhea ', ' Nausea ', ' Fever']"
Prader-Willi syndrome,"['Narrowed head at the temples ', ' Rapid weight gain ', ' Male infants may have undescended testicles ', ' Delayed muscle and motor function development ', ' Short stature ', ' High blood pressure ', "" Very small hands and feet in comparison to the child's body "", ' Newborns are often small and floppyÂ\xa0with reduced muscle tone ', ' Trouble feeding as an infant, with poor weight gain ', ' Joint and lung problems ', ' Slow mental development ', ' Almond-shaped eyes']"
Chronic myelogenous leukemia (CML),"['Rash -- small pinpoint red marks on the skin (petechiae) ', ' Weakness ', ' Chronic ', ' Pressure under the lower left ribs from a swollen spleen ', ' Fatigue ', ' Blast crisis ', ' Bruising ', ' Fever ', ' Accelerated ', ' Excessive sweating (night sweats)']"
Vaginal dryness,"['Burning on urination ', ' Painful sexual intercourse ', ' Vaginal soreness, itching or burning ', ' Light bleeding after intercourse ', ' Slight vaginal discharge']"
Facial trauma,"['Deformed or uneven face or facial bones ', ' Swelling or bruising around the eyes that may cause vision problems ', ' Changes in feeling over the face ', ' Difficulty breathing through the nose due to swelling and bleeding ', ' Double vision ', ' Missing teeth']"
Charcot foot,"['A classic sign of Charcot is rocker-bottom foot. This occurs when the bones in middle of the foot collapse. This causes the arch of the foot to collapse and bow downward. ', ' Warmth in the affected foot (noticeably warmer than the other foot) ', ' High blood sugar also makes it hard for the body to fight infection. As a result, these foot ulcers may become infected. ', ' Redness ', ' Because the feet are numb, these sores and ulcers may grow wider or deeper before they are noticed. ', ' Swelling ', ' The toes may curl downward. ', ' Mild pain and discomfort']"
Pulmonary alveolar proteinosis,"['Cough ', ' Fever, if there is lung infection ', ' Fatigue ', ' Shortness of breath ', ' Bluish skin (cyanosis) in severe cases ', ' Weight loss']"
Rh incompatibility,"['Low muscle tone (hypotonia) and lethargy ', ' Yellowing of the skin and whites of the eyes (jaundice)']"
Methylmercury poisoning,"['Impaired mental functioning ', ' Growth problems ', ' Deafness ', ' Movement or coordination problems ', ' Cerebral palsy (in the child of a pregnant woman exposed to methylmercury) ', ' Blindness ', ' Lung function impairment ', ' Seizures ', ' Small head (microcephaly)']"
Pericarditis - constrictive,"['Weakness ', ' Long-term swelling (edema) of the legs and ankles ', ' Fatigue ', ' Difficulty breathing (dyspnea) that develops slowly and gets worse ', ' Swollen abdomen']"
Neonatal hypothyroidism,"['Sluggishness ', ' Sleepiness ', ' Jaundice (skin and whites of the eyes look yellow) ', ' Constipation ', ' Short height ', ' Low hairline ', ' Dull look ', ' Thick tongue that sticks out ', ' Dry, brittle hair ', ' Puffy face ', ' Lack of muscle tone (floppy infant) ', ' Hoarse cry ', ' Poor feeding, choking episodes']"
Turpentine oil poisoning,"['Weakness ', ' Burns of the food pipe (esophagus) ', ' Throat swelling (which may also cause breathing difficulty) ', ' Headache ', ' Blood in the stool ', ' Tremors ', ' Severe abdominal pain ', ' Severe cough or choking ', ' Severe pain in the throat ', ' Breathing difficulty (from breathing in turpentine) ', ' Kidney failure (no urine produced) ', ' Burns ', ' Staggering ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Unconsciousness ', ' Convulsions (seizures) ', ' Euphoria (feeling of being drunk) ', ' Low blood pressure that develops rapidly ', ' Blood in urine ', ' Irritation ', ' Dizziness ', ' Loss of vision ', ' Vomiting blood ', ' Drowsiness ', ' Nervousness ', ' Vomiting ', ' Bluish skin color ', ' Collapse']"
Loss of brain function - liver disease,"['Breath with a musty or sweet odor ', ' Changes in thinking ', ' Slowed or sluggish movement ', ' Drowsiness or confusion ', ' Slurred speech ', ' Forgetfulness ', ' Changes in sleep patterns ', ' Abnormal movements or shaking of hands or arms ', ' Disorientation ', ' Personality or mood changes ', ' Agitation, excitement, or seizures (occur rarely) ', ' Poor concentration and judgment ', ' Worsening of handwriting or loss of other small hand movements ', ' Mild confusion ', ' Behavior or personality changes']"
Congenital platelet function defects,"['Easy bruising or pinpoint red spots on the skin ', ' Bleeding gums ', ' Nosebleeds ', ' Prolonged bleeding with small injuries ', ' Heavy menstrual periods ', ' Excessive bleeding during and after surgery']"
Amitriptyline and perphenazine overdose,"['Weakness ', ' Slowed, labored breathing ', ' Eye pain in people at risk for a type of glaucoma ', ' Constipation ', ' Tremor ', ' Rapid heartbeat ', ' Rash ', ' Unpleasant taste in mouth ', ' Inability to completely empty the bladder ', ' Stiff muscles in neck, face, or back ', ' Dry mouth ', ' Itchy skin ', ' Low blood pressure (severe) ', ' Muscles are rigid ', ' Change in menstrual patterns ', ' Blurred vision ', ' Enlarged pupils ', ' Nasal congestion ', ' Loss of appetite ', ' Delirium ', ' Disorientation ', ' Muscle spasms or stiffness of the limbs ', ' Shock ', ' Uncoordinated movement ', ' Drowsiness ', ' Agitation ', ' Seizures ', ' Restlessness ', ' Nausea and vomiting ', ' No breathing ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Lower than normal body temperature ', ' Hard to start urinating, and urine stream may be weak ', ' Irregular heartbeat']"
Lily of the valley,"['LethargyÂ\xa0(sleepiness) ', ' Weakness ', ' Irregular or slow heartbeat ', ' Headache ', ' Rash ', ' Confusion ', ' Diarrhea ', ' Fainting ', ' Blurred vision ', ' Loss of appetite ', ' Disorientation ', ' Depression ', ' Drowsiness ', ' Excessive urination at night ', ' Halos around objects (yellow, green, white) ', ' Hives ', ' Nausea and vomiting ', ' Stomach pain ', ' Collapse']"
Hyperkalemic periodic paralysis,"['Most commonly occurs at the shoulders, back, and hips ', ' Eating potassium-rich foods or taking medicines that contain potassium ', ' Occurs on and off ', ' Rest after exercise ', ' Most commonly occurs while resting after activity or exercise ', ' Stress ', ' Eating a high carbohydrate meal ', ' May also involve the arms and legs, but does not affect muscles of the eyes and muscles that help with breathing and swallowing ', ' May occur on awakening ', ' Usually lasts 15 minutes to 1 hour, but may last up to an entire day ', ' Exposure to cold ', ' Skipping meals']"
Developmental expressive language disorder,"['Improper use of tenses (past, present, future) ', ' Problems remembering words ', ' Problems making complex sentences ', ' Below-average vocabulary skills']"
Cholesteatoma,"['Sensation of ear fullness or pressure ', ' Drainage from the ear, which can be chronic ', ' Hearing loss in one ear ', ' Dizziness']"
Laryngitis,"['Fever ', ' Hoarseness ', ' Swollen lymph nodes or glands in the neck']"
Wernicke-Korsakoff syndrome,"['Confusion and loss of mental activity that can progress to coma and death ', ' Loss of memory, can be severe ', ' Inability to form new memories ', ' Loss of muscle coordination (ataxia) that can cause leg tremor ', ' Vision changes such as\r\n   abnormal eye movements (back and forth movements called nystagmus),\r\n   double vision, eyelid drooping ', ' Seeing or hearing things that are not really there (hallucinations) ', ' Making up stories (confabulation)']"
Schistosomiasis,"[""When the worm first gets into the skin, itÂ\xa0may cause itching and a rash (swimmer's itch). In this condition, the schistosome is destroyed within the skin. "", ' Intestinal symptoms include abdominal pain and diarrhea (which may be bloody). ', ' Many parasites may cause fever, chills, swollen lymph nodes, and swollenÂ\xa0liver and spleen. ', ' Urinary symptoms may include frequent urination, painful urination, and blood in the urine.']"
Hepatitis C,"['Itching ', ' Dark urine ', ' Clay-colored or pale stools ', ' Loss of appetite ', ' Abdominal swelling due to fluid (ascites) ', ' Jaundice ', ' Fatigue ', ' Nausea and vomiting ', ' Pain in the right upper abdomen ', ' Fever']"
Cuts and puncture wounds,"['Wounds on the feet ', ' Pain ', ' Crush injuries ', ' Punctures ', ' Bleeding ', ' Problems with function (movement) or feeling (numbness, tingling) below the wound site ', ' Dirty wounds ', ' Wounds that are not promptly treated ', ' Bites']"
Scleredema diabeticorum,"['Lesions occur on the same areas on both sides of the body (symmetrical). ', ' Reddish, painless lesions. ', ' Thick, hard skin that feels smooth. You cannot pinch the skin over the upper back or neck.']"
Syphilitic aseptic meningitis,"['Changes in vision, such as blurred vision, decreased vision ', ' Mental status changes, including confusion, decreased attention span, and irritability ', ' Sensitivity to light (photophobia) and loud noises ', ' Stiff neck or shoulders, muscle aches ', ' Nausea and vomiting ', ' Headache ', ' Sleepiness, lethargy, hard to wake up ', ' Fever ', ' Seizures']"
Ear wax,"['Partial hearing loss, may get worse ', ' Fullness in the ear or a sensation that the ear is plugged ', ' Noises in the ear (tinnitus) ', ' Earache']"
Polycystic kidney disease,"['Excessive urination at night (nocturia) ', ' Flank pain on one or both sides ', ' Nail abnormalities ', ' Abdominal pain or tenderness ', ' Drowsiness ', ' Blood in the urine ', ' Joint pain']"
Glucose-6-phosphate dehydrogenase deficiency,"['Yellow skin color (jaundice) ', ' Dark urine ', ' Enlarged spleen and liver ', ' Shortness of breath ', ' Fatigue ', ' Pain in abdomen ', ' Rapid heart rate ', ' Pallor ', ' Fever']"
Windshield washer fluid,"['Dilation (widening) of the pupils ', ' Weakness ', ' Yellow skin (jaundice) ', ' Headache ', ' Confusion ', ' Leg cramps ', ' Difficulty walking ', ' Vomiting, sometimes bloody ', ' Liver problems, including jaundice (yellow skin) and bleeding ', ' Diarrhea ', ' Abdominal pain (severe) ', ' Blurred vision ', ' Blindness, complete or partial, sometimes described as ""snow blindness"" ', ' Dizziness ', ' Pancreatitis (nausea, vomiting, and abdominal pain) ', ' Nausea ', ' Agitated behavior ', ' Coma (unresponsiveness) ', ' Seizures ', ' Breathing difficulty ', ' Low blood pressure ', ' Fatigue ', ' No breathing ', ' Bluish-colored lips and fingernails (cyanosis)']"
Cervical polyps,"['Very heavy menstrual periods ', ' White or yellow mucus (leukorrhea) ', ' Vaginal bleeding after douching or intercourse ', ' Abnormal vaginal bleeding after menopause or between periods']"
Bile duct stricture,"['Itching ', ' Pale or clay-colored stools ', ' General feeling of discomfort ', ' Chills ', ' Loss of appetite ', ' Abdominal pain\r\n  on the upper right side of belly ', ' Jaundice ', ' Nausea and vomiting ', ' Fever']"
High blood pressure in infants,"['Vomiting ', ' Failure to grow and gain weight ', ' Irritability ', ' Pale skin (pallor) ', ' Rapid breathing ', ' Frequent urinary tract infections ', ' Bluish skin ', ' Trouble breathing']"
Chronic subdural hematoma,"['Confusion or coma ', ' Decreased memory ', ' Weakness or numbness of arms, legs, face ', ' Problem speaking or swallowing ', ' Trouble walking ', ' Headache ', ' Drowsiness']"
Myotonia congenita,"['Gagging ', ' Shortness of breath or tightening of the chest at the beginning of exercise ', ' Difficulty opening eyes after forcing them closed or crying ', ' Difficulty swallowing ', ' Stiff movements that improve when they are repeated ', ' Frequent falls']"
Provisional tic disorder,"['Clicking ', ' Brief and jerky movements that include blinking, clenching the fists, jerking the arms, kicking, raising the eyebrows, sticking out the tongue ', ' Throat clearing ', ' Squealing ', ' An overwhelming urge to make the movement ', ' Hissing ', ' Snorting ', ' Sniffing ', ' Grunting ', ' Movements that occur again and again and do not have a rhythm ', ' Moaning']"
Uterine fibroids,"['Needing to urinate more often ', ' Pelvic cramping or pain with periods ', ' Heavy bleeding during your period, sometimes with blood clots ', ' Periods that may last longer than normal ', ' Pain during intercourse ', ' Bleeding between periods ', ' Feeling fullness or pressure in your lower belly']"
Toluene and xylene poisoning,"['Kidney damage ', ' Headache ', ' Tremors ', ' Low blood pressure (shock) ', ' Rapid, shallow breathing ', ' Unconsciousness (lack of responsiveness) ', ' Cough ', ' Staggering ', ' Pale skin ', ' Burning pain ', ' Vomiting (may be bloody) ', ' Convulsions (seizures) ', ' Abdominal pain (severe) ', ' Blurred vision ', ' Chest pain ', ' Hearing loss ', ' Loss of appetite ', ' Extreme feeling of well-being (euphoria) ', ' Dizziness ', ' Bloody stools ', ' Memory loss ', ' Nausea ', ' Drowsiness ', ' Nervousness ', ' Breathing difficulty ', ' Dry, cracked skin ', ' Irregular heartbeat']"
Esophageal spasm,"['Pain in the chest or upper abdomen ', ' Problems swallowing or pain with swallowing']"
Strabismus,"['Loss of vision or depth perception ', ' Eyes that do not aim in the same direction ', ' Double vision ', ' Uncoordinated eye movements (eyes do not move together)']"
Dental cavities,"['Visible pits or holes in the teeth ', ' Tooth pain or achy feeling, particularly after sweet or hot or cold foods and drinks']"
Creeping eruption,"['Raised, snakelike tracks in the skin that may spread over time, usually about 1 cm (less than one half inch) per day, usually on the feet and legs (severe infections may cause several tracks) ', ' Itching, may be more severe at night ', ' Blisters']"
Varicocele,"['Possible problems with fertility or decreased sperm count ', ' Painless testicle lump, scrotal swelling, or bulge in the scrotum ', ' Dull ache or discomfort ', ' Enlarged, twisted veins in the scrotum']"
Binge eating disorder,"['Is not able to control overeating, for example is unable to stop eating or control the amount of food ', ' Eats even though not hungry ', ' Eats food very fast each time ', ' Eats large amounts of food in a short period, for example, within 2 hours ', ' Eats alone (in secret) ', ' Feels guilty, disgusted, ashamed, or depressed after eating so much ', ' Keeps eating even when full (gorging) or until uncomfortably full']"
Pericarditis - after heart attack,"['Chest pain from the swollen pericardium rubbing on the heart. The pain may be sharp, tight or crushing and may move to the neck, shoulder, or abdomen. The pain may also be worse when you breathe and go away when you lean forward, stand, or sit up. ', ' Dry cough ', ' Malaise (general ill feeling) ', ' Fatigue ', ' Fast heart rate (tachycardia) ', ' Anxiety ', ' Splinting of ribs (bending over or holding the chest) with deep breathing ', ' Fever (common with the second type of pericarditis) ', ' Trouble breathing']"
Adult soft tissue sarcoma,"['Blockage or bleeding in the stomach or intestines ', ' Pain, if it presses on a nerve, organ, blood vessel, or muscle ', ' Breathing problems']"
Malaria,"[""Anemia (condition in which the body doesn't have enough healthy red blood cells) "", ' Muscle pain ', ' Jaundice ', ' Convulsions ', ' Bloody stools ', ' Headache ', ' Nausea and vomiting ', ' Chills, fever, sweating ', ' Coma']"
Thyroid cancer - medullary carcinoma,"['Hoarseness ', ' Cough with blood ', ' Cough ', ' Diarrhea due to high calcitonin level ', ' Breathing problems due to narrowing of airways ', ' Swelling of the neck']"
Phenytoin overdose,"['Sleepiness ', ' Side-to-side eye movement (nystagmus) ', ' Slurred speech ', ' Muscle rigidity or spasms ', ' Seizures (occasionally) ', ' Low blood pressure ', ' Swollen gums ', ' Unsteadiness ', ' Dizziness ', ' Tremor (unintentional trembling) ', ' Fever ', ' Coma ', ' Confusion']"
Interstitial lung disease,"['Over time, it can occur with less strenuous activity such as bathing or dressing, and as the disease worsens, even with eating or talking. ', ' Blue color of the lips, skin, or fingernails due to low blood oxygen levels (cyanosis). ', ' At first, shortness of breath may not be severe and is only noticed with exercise, climbing stairs, and other activities. ', ' Abnormal enlargement and curving of the base of the fingernails (clubbing). ', ' Symptoms of the other diseases such as arthritis or trouble swallowing (scleroderma), associated with ILD.']"
Ethmoiditis,"['Vision loss ', ' Nasal congestion ', ' Headache between the eyes ', ' Loss of sense of smell ', ' Redness or bulging of the eyes ', ' Double vision ', ' Runny nose']"
Infant botulism,"['Poor feeding and weak suckling ', ' Constipation ', ' Paralysis that spreads downward ', ' Absence of gagging ', ' Weak cry ', ' Loss of head control ', ' Respiratory failure ', ' ""Floppy"" body ', ' Breathing that stops or slows ', ' Eyelids that sag or partially close ', ' Extreme tiredness (lethargy)']"
Dieffenbachia poisoning,"['Increased saliva production ', ' Burning in mouth and throat ', ' Hoarse voice ', ' Nausea and vomiting ', ' Pain on swallowing ', ' Blisters in the mouth ', ' Redness, swelling, pain, and burning of the eyes, and possible corneal damage ', ' Diarrhea ', ' Swelling of mouth and tongue']"
Aspiration pneumonia,"['Excessive sweating ', ' Problems swallowing ', ' Fatigue ', ' Breath odor ', ' Seeing food or tube feed material (if being fed artificially) in your sputum ', ' Coughing up foul-smelling, greenish or dark phlegm (sputum), or phlegm that contains pus or blood ', ' Confusion']"
Uveitis,"['Dark, floating spots in the vision ', ' Blurred vision ', ' Redness of the eye ', ' Sensitivity to light']"
Mucopolysaccharidosis type II,"['Joint stiffness ', ' Severe intellectual disability ', ' Large head ', ' Mental function gets worse over time ', ' Coarse features of the face ', ' Jerky body movements ', ' Aggressive behavior ', ' Deafness (gets worse over time) ', ' Hyperactivity ', ' Increased hair growth']"
Kyphosis,"['Round back appearance ', ' Fatigue ', ' Difficulty breathing (in severe cases) ', ' Tenderness and stiffness in the spine']"
Pheochromocytoma,"['Headaches ', ' Shortness of breath ', ' Heart palpitations ', ' Nausea and vomiting ', ' High blood pressure ', ' Weight loss ', ' Sweating ', ' Problems sleeping ', ' Seizures ', ' Abdominal or chest pain ', ' Pallor ', ' Irritability, nervousness']"
Geographic tongue,"['Map-like appearance to the surface of the tongue ', ' Patches that move from day to day ', ' Soreness and burning pain (in some cases) ', ' Smooth, red patches and sores (lesions) on the tongue']"
Heart failure in children,"['Swollen feet and ankles ', ' Symptoms of heart failure may be present at birth, start during the first weeks of life, or develop slowly in an older child. ', ' Waking up from sleep after a couple of hours due to shortness of breath ', ' Need to urinate at night ', ' Pulse that feels fast or irregular, or a sensation of feeling the heart beat (palpitations) ', ' Shortness of breath when the child is active or after lying down ', ' Not gaining enough weight. ', ' Cough ', ' Loss of appetite ', ' Breathing problems, such as rapid breathing or breathing that appears to take more effort. These may be noticed when the child is resting or when feeding or crying. ', ' Fluid may build up in the lungs, liver, abdomen, and the arms and legs. This is called ""congestive heart failure"" or just ""heart failure"". ', ' Fatigue, weakness, faintness ', ' Noticing a fast or strong heart beat through the chest wall when the child is at rest. ', ' Taking longer than normal to feed or becoming too tired to continue feeding after a short time. ', ' Swollen (enlarged) liver or abdomen ', ' Weight gain']"
Chlamydial infections - male,"['Discharge from the penis ', ' Difficulty urinating, which includes painful urination or burning during urination ', ' Redness, swelling, or itching of the opening of the urethra at the tip of the penis ', ' Swelling and tenderness of one or both testicles']"
Volvulus - childhood,"['Bloody or dark red stools ', ' Vomiting green material ', ' Pain or tenderness in the abdomen ', ' Constipation or difficulty releasing stools ', ' Shock ', ' Distended abdomen ', ' Nausea or vomiting']"
Diesel oil,"['Weakness ', ' Burns of the throat (esophagus) ', ' Secondary bacterial or viral infection ', ' Headache ', ' Blood in the stool ', ' Somnolence (sleepiness and decreased responsiveness) ', ' Severe abdominal pain ', ' Brain damage from low oxygen levels (may lead to memory issues and decreased ability to think clearly) ', ' Confusion ', ' Low blood pressure that develops rapidly (shock) ', ' Severe pain in the throat ', ' Burns ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Respiratory distress or failure ', ' Pleural effusion (fluid surrounding the lungs, reducing their ability to expand) ', ' Blurred vision ', ' Irritation ', ' Dizziness ', ' Loss of vision ', ' Hemorrhagic pulmonary edema (bloody fluid in the lungs) ', ' Decreased coordination ', ' Pneumothorax (lung collapse, partial or complete) ', ' Vomiting blood ', ' Empyema (infected fluid surrounding the lungs) ', ' Agitation ', ' Seizures ', ' Lung irritation and cough ', ' Vomiting ', ' Breathing difficulty ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Throat swelling (may also cause breathing difficulty) ', ' Collapse']"
Pneumocystis jiroveci pneumonia,"['Fever ', ' Shortness of breath, especially with activity (exertion) ', ' Rapid breathing ', ' Cough, often mild and dry']"
Toxoplasmosis,"['Mild illness similar to mononucleosis ', ' Enlarged lymph nodes in the head and neck ', ' Muscle pain ', ' Headache ', ' Sore throat ', ' Blurred vision due to inflammation of the retina ', ' Fever']"
Generalized anxiety disorder,"['Fatigue ', ' Irritability ', ' Restlessness when awake ', ' Problems concentrating ', ' Problems falling or staying asleep, or sleep that is restless and unsatisfying']"
High blood pressure in adults - hypertension,"['Nosebleeds ', ' Nausea and vomiting ', ' Severe headache ', ' Vision changes ', ' Confusion']"
Alpha-1 antitrypsin deficiency,"['Loss of weight without trying ', ' Coughing ', ' Symptoms of liver failure ', ' Wheezing ', ' Shortness of breath with and without exertion, and other symptoms of COPD']"
Mediastinitis,"['Chest wall tenderness ', ' Unstable chest wall ', ' Wound drainage ', ' General discomfort']"
Aloe,"['Vomiting ', ' Skin irritation ', ' Throat swelling (which may also cause breathing difficulty) ', ' Loss of vision ', ' Rash ', ' Breathing difficulty (from breathing in a product that contains aloe) ', ' Diarrhea ', ' Severe abdominal pain']"
Syringomyelia,"['Spasms or tightness in the leg or hand and arm muscles ', ' Difficulty walking or toe walking in children ', ' Loss of muscle mass (wasting, atrophy), often in the arms and hands ', ' Muscle function loss, loss of ability to use arms or legs ', ' Weakness (decreased muscle strength) in the arms or legs ', ' Headache ', ' Scoliosis (in children) ', ' Uncontrollable movements of the eyes (nystagmus) ', ' Condition that affects the nerves to the eye and face (Horner syndrome) ', ' Increased reflexes in lower limbs ', ' Painless burn or injury of the hand ', ' Loss of reflexes in upper limbs ', ' Numbness that decreases the feeling of pain or temperature; lowers the ability to feel when the skin is being touched; occurs in the neck, shoulders, upper arms, and trunk in a cape-like pattern; and slowly gets worse over time ', ' Pain down the arms, neck, or into the middle back or legs']"
Dextrocardia,"['Repeated sinus or lung infections ', ' Jaundice (yellow skin and eyes) ', ' Fatigue ', ' Difficulty breathing ', ' Pale skin (pallor) ', ' Bluish skin ', ' Failure to grow and gain weight']"
Carcinoid syndrome,"['Diarrhea ', ' Difficulty breathing, such as wheezing ', ' Heart problems, such as leaking heart valves, slow heartbeat, low or high blood pressure ', ' Flushing (face, neck, or upper chest), or widened blood vessels seen on the skin (telangiectasias)']"
Choking - infant under 1 year,"['Weak, ineffective coughing ', ' Bluish skin color (cyanosis) ', ' Loss of consciousness (unresponsiveness) if blockage is not cleared ', ' Inability to cry or make much sound ', ' Difficulty breathing -- ribs and chest pull inward ', ' Soft or high-pitched sounds while inhaling']"
Sulindac overdose,"['Blurred vision ', ' Heartburn ', ' Headache (severe) ', ' Rapid breathing (hyperventilation) ', ' Nausea, vomiting (sometimes bloody) ', ' Slow, labored breathing ', ' Convulsions ', ' Stomach or abdominal pain ', ' Agitation, confusion, incoherence (not understandable) ', ' Rash ', ' Wheezing ', ' Diarrhea ', ' Unsteadiness, movement problems ', ' DrowsinessÂ\xa0or even comaÂ\xa0(unresponsiveness) ', ' Ringing in the ears']"
Glaucoma,"['Advanced glaucoma can lead to blindness. ', ' Tearing ', ' Once you are aware of vision loss, the damage is already severe. ', ' Decreased or cloudy vision, often called ""steamy"" vision ', ' Most people have no symptoms. ', ' Symptoms are most often related to the underlying problem causing the glaucoma. ', ' Slow loss of side (peripheral) vision (also called tunnel vision) is the main type of vision loss. ', ' Rainbow-like halos around lights ', ' Nausea and vomiting ', ' Sudden, severe pain in one eye ', ' Enlargement of one eye or both eyes ', ' Sensitivity to light ', ' Depending on the cause, symptoms may either be like open-angle glaucoma or angle-closure glaucoma. ', ' Cloudiness of the front of the eye ', ' Red eye ', ' Eye feels swollen']"
Polio,"['General discomfort or uneasiness (malaise) ', ' Headache ', ' Inapparent infection ', ' Paralytic ', ' Stiff and sore muscles at the back of the neck, trunk, arms, and legs ', ' Changes in muscle reaction (reflexes) as the disease progresses ', ' Difficulty swallowing ', ' Breathing that is weak ', ' Belly pain ', ' Loss of appetite ', ' Drooling ', ' Urinary problems and constipation ', ' Abortive disease ', ' Vomiting ', ' Fever for 2 to 3 days ', ' Hoarse voice ', ' Severe constipation and urinary problems ', ' Sore throat ', ' Muscle weakness, paralysis, loss of muscle tissue ', ' Nonparalytic']"
Allergic conjunctivitis,"['Puffy eyelids, most often in the morning ', ' Intense itching or burning eyes ', ' Red eyes ', ' Widened blood vessels in the clear tissue covering the white of the eye ', ' Tearing (watery eyes) ', ' Stringy eye discharge']"
Total anomalous pulmonary venous return,"['Lethargy ', ' Poor growth ', ' Bluish color of the skin (cyanosis) ', ' Poor feeding ', ' Rapid breathing ', ' Frequent respiratory infections']"
Grief,"['Bargaining (for instance, ""If I am cured of this cancer, I will never smoke again."") ', ' Denial, disbelief, numbness ', ' Acceptance, coming to terms ', ' Anger, blaming others ', ' Depressed mood, sadness, and crying']"
Tourette syndrome,"['Jumping ', ' Eye blinking ', ' Repeated throat clearing or sniffing ', ' Shoulder shrugging ', ' Arm thrusting ', ' Kicking']"
Pulmonary nocardiosis,"['Unintentional weight loss ', ' Swollen lymph nodes ', ' Shortness of breath ', ' Skin rashes or lumps ', ' Headache ', ' Change in mental state ', ' Confusion ', ' Joint pain ', ' Changes in vision ', ' General ill feeling (malaise) ', ' Loss of appetite ', ' Dizziness ', ' Rapid breathing ', ' Liver and spleen swelling (hepatosplenomegaly) ', ' Skin sores (abscesses) ', ' Nausea ', ' Seizures ', ' Chest pain not due to heart problems ', ' Vomiting ', ' Night sweats ', ' Breathing difficulty ', ' Fever (comes and goes) ', ' Coughing up blood or mucus']"
