Disease_Name,Symptom_List
Achondrogenesis,"['Very short trunk, arms, legs, and neck ', ' Narrow chest ', ' Head appears large in relation to the trunk ', ' Small lower jaw']"
Achondroplasia,"['Unusually large head ', ' Average size trunk with short arms and legs (especially the upper arms and thighs) ', ' Bowed legs ', ' Short fingers with an extra space between the ring and middle finger (trident hand) ', ' Crowded or crooked teeth ', ' Large forehead and flat bridge of the nose ', ' Decreased muscle tone in infants ', ' Limited range of motion of the elbows ', ' Short stature (well below the average height for a person of the same age and sex) ', ' Spine curvatures called kyphosis and lordosis']"
Acid soldering flux poisoning,"['Decreased urine output ', ' Irregular heart beat ', ' Burns of the food pipe (esophagus) ', ' Kidney failure ', ' Burn ', ' Holes in the skin or tissues under the skin ', ' Irritation ', ' Severe pain in the throat ', ' Breathing difficulty (from breathing in the chemical) ', ' Throat swelling (which may also cause breathing difficulty) ', ' Loss of vision ', ' Nausea and vomiting ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Vomiting blood ', ' Severe abdominal pain ', ' Low blood pressure that develops rapidly (shock) ', ' Collapse']"
Acidosis,"['Sleepiness ', ' Lethargy ', ' Fatigue ', ' Shortness of breath ', ' Confusion']"
Acne,"['Crusting of skin bumps ', ' Blackheads ', ' Redness around the skin eruptions ', ' Scarring of the skin ', ' Whiteheads ', ' Pustules (small red bumps containing white or yellow pus) ', ' Papules (small red bumps) ', ' Cysts']"
Acoustic neuroma,"['Hearing loss in the affected ear that makes it hard to hear conversations ', ' Numbness in the face orÂ\xa0one ear ', ' Weakness of the face or facial asymmetry ', ' Ringing (tinnitus) in the affected ear ', ' Difficulty understanding speech ', ' Dizziness ', ' Headache ', ' Pain in the face or one ear ', ' Abnormal feeling of movement (vertigo) ', ' Loss of balance']"
Acoustic trauma,"['Noises, ringing in the ear (tinnitus). ', ' Partial hearing loss that most often involves repeated long-term exposures to loud or high-pitched sounds. The hearing loss may slowly get worse.']"
Acquired platelet function defect,"['Nosebleeds ', ' Gastrointestinal bleeding resulting in bloody, dark black, or tarry bowel movements; or vomiting blood or material that looks like coffee grounds ', ' Heavy menstrual periods or prolonged bleeding (more than 5 days each period) ', ' Bruising easily or pinpoint red spots on the skin ', ' Abnormal vaginal bleeding ', ' Blood in the urine ', ' Bleeding under the skin']"
Acrodysostosis,"['Distinct facial features ', "" The body doesn't respond to certain hormones, even though hormone levels are normal "", ' Intellectual disability ', ' Frequent middle ear infections ', ' Hearing problems ', ' Growth problems, short arms and legs']"
Acromegaly,"['Excessive height (when excessÂ\xa0GH production begins in childhood) ', ' Jaw pain ', ' Large feet (change in shoe size), large hands (change in ring or glove size) ', ' Headache ', ' Blood in the stool ', ' Body odor ', ' Colon polyps ', ' Excess hair growth in females (hirsutism) ', ' High blood pressure ', ' Weight gain ', ' Hoarseness ', ' Joint pain, limited joint movement, swelling of the bony areas around a joint ', ' Sleep apnea ', ' Thyroid enlargement ', ' Widened fingers or toes, with swelling, redness, and pain ', ' Dental problems, gaps between the teeth ', ' Easy fatigue ', ' Excessive sweating ', ' Large bones of the face, large jaw and tongue, widely spaced teeth ', ' Decreased muscle strength (weakness) ', ' Enlarged tongue ', ' Large glands in the skin (sebaceous glands) causing oily skin, thickening of the skin, skin tags (growths) ', ' Type 2 diabetes ', ' Heart enlargement, which can cause fainting or shortness of breath ', ' Decreased peripheral vision ', ' Carpal tunnel syndrome']"
Actinic keratosis,"['The skin changes begin as flat and scaly areas. They often have a white or yellow crusty scale on top. ', ' The growths may be gray, pink, red, or the same color as your skin. Later, they may become hard and wart-like or gritty and rough. ', ' The affected areas may be easier to feel than see.']"
Actinomycosis,"['Draining sores in the skin, especially on the chest wall from lung infection with Actinomyces ', ' Weight loss ', ' Mild or no pain ', ' Fever ', ' Swelling or a hard, red to reddish-purple lump on the face or upper neck']"
Acute adrenal crisis,"['Abdominal pain or flank pain ', ' Confusion, loss of consciousness, or coma ', ' Slow, sluggish movement ', ' High fever ', ' Rapid respiratory rate ', ' Nausea, vomiting ', ' Dehydration ', ' Loss of appetite ', ' Low blood pressure ', ' Headache ', ' Unusual and excessive sweating on face or palms ', ' Fatigue, severe weakness ', ' Low blood sugar ', ' Rapid heart rate ', ' Dizziness or lightheadedness']"
Acute arterial occlusion - kidney,"['Back pain ', ' Abrupt decrease in urine output ', ' Flank pain or pain in the side ', ' Symptoms of high blood pressure such as headache, change in vision, and swelling ', ' Blood in the urine ', ' Abdominal pain']"
Acute bronchitis,"['Wheezing, in people with asthma ', ' Shortness of breath that gets worse with activity ', ' Chest discomfort ', ' Cough that produces mucus -- the mucus may be clear or yellow-green ', ' Fatigue ', ' Fever -- usually low-grade']"
Acute cerebellar ataxia,"['Difficulty controlling arm movements ', ' Repetitive eye movements (nystagmus) ', ' Walking problems (unsteady gait) that can lead to falls ', ' Uncoordinated eye movements ', ' Clumsy speech pattern (dysarthria)']"
Acute cholecystitis,"['Sharp, cramping, or dull pain ', ' Nausea and vomiting ', ' Clay-colored stools ', ' Steady pain ', ' Fever ', ' Yellowing of skin and whites of the eyes (jaundice) ', ' Pain that spreads to your back or below your right shoulder blade']"
Acute coronary syndrome,"['Pain in the shoulder, arm, neck, jaw, back, or belly area ', ' Discomfort that feels like tightness, squeezing, crushing, burning, choking, or aching ', ' Shortness of breath ', ' Fast or irregular heartbeat ', ' Anxiety ', ' Discomfort that occurs at rest and does not easily go away when you take medicine ', ' Feeling dizzy or lightheaded ', ' Sweating ', ' Nausea']"
Acute flaccid myelitis,"['Stiffness in the neck ', ' Pain in the arms or legs ', ' Facial droop or weakness ', ' Inability to pass urine ', ' Drooping eyelids ', ' Serious nervous system problems, which may lead to death ', ' Slurred speech or difficulty swallowing ', ' Respiratory failure, when muscles involved in breathing become weak ', ' Difficulty moving the eyes']"
Acute kidney failure,"['Prolonged bleeding ', ' Shortness of breath ', ' Heart murmur ', ' Changes in mental status or mood ', ' Hand tremor ', ' Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely ', ' Decreased appetite ', ' High blood pressureÂ\xa0Â ', ' Swelling due to the body keeping in fluid (may be seen in the legs, ankles, and feet) ', ' Bruising easily ', ' Flank pain (between the ribs and hips) ', ' Persistent hiccups ', ' Nausea or vomiting, may last for days ', ' Bloody stools ', ' Breath odor and metallic taste in the mouth ', ' Seizures ', ' Decreased sensation, especially in the hands or feet ', ' Nosebleeds ', ' FatigueÂ\xa0or slow sluggish movements']"
Acute lymphoblastic leukemia (ALL),"['Swollen lymph nodes in the neck, under arms, and groin ', ' Night sweats ', ' Bone and joint pain ', ' Pain or feeling of fullness below the ribs from an enlarged liver or spleen ', ' Paleness ', ' Pinpoint red spots on the skin (petechiae) ', ' Loss of appetite and weight loss ', ' Fever ', ' Feeling weak or tired ', ' Easy bruising and bleeding (such as bleeding gums, skin bleeding, nosebleeds, abnormal periods)']"
Acute mountain sickness,"['Blue color to the skin (cyanosis) ', ' Dizziness or light-headedness ', ' Rapid pulse (heart rate) ', ' Cough ', ' Loss of appetite ', ' Gray or pale complexion ', ' Inability to walk in a straight line, or walk at all ', ' Fatigue ', ' Difficulty sleeping ', ' Headache ', ' Shortness of breath at rest ', ' Shortness of breath with exertion ', ' Chest tightness or congestion ', ' Confusion ', ' Nausea or vomiting ', ' Decreased consciousness or withdrawal from social interaction']"
Acute myeloid leukemia - adult,"['Heavy menstrual periods ', ' Pale skin ', ' Bone pain or tenderness ', ' Weight loss ', ' Bruising ', ' Bleeding from the nose ', ' Bleeding and swelling (rare) in the gums ', ' Shortness of breath (gets worse with exercise) ', ' Fever and fatigue']"
Acute myeloid leukemia (AML) - children,"['Loss of appetite and eating less food ', ' Night sweats ', ' Frequent infections ', ' Easy bleeding or bruising ', ' Fever with or without an infection ', ' Bone or joint pain ', ' Painless lumps in the neck, armpits, stomach, groin, or other parts of the body that may be blue or purple ', ' Feeling weak or tired ', ' Pinpoint spots (petechiae) under the skin caused by bleeding']"
Acute nephritic syndrome,"['Decreased urine output (little or no urine may be produced) ', ' Blood in the urine (urine appears dark, tea-colored, or cloudy) ', ' Cough containing mucus or pink, frothy material from fluid buildup in the lungs ', ' Shortness of breath, from fluid buildup in the lungs ', ' Swelling of the face, eye socket, legs, arms, hands, feet, abdomen, or other areas ', ' Blurred vision, usually from burst blood vessels in the retina of the eye ', ' General ill feeling (malaise), drowsiness, confusion, aches and pains, headache']"
Acute pancreatitis,"['Becomes constant and more severe, lasting for several days ', ' Indigestion ', ' May spread (radiate) to the back or below the left shoulder blade ', ' Mild yellowing of the skin and whites of the eyes (jaundice) ', ' Hiccups ', ' May be worse when lying flat on the back ', ' Clay-colored stools ', ' May be worse within minutes after eating or drinking at first, more commonly if foods have a high fat content ', ' Bloating and fullness ', ' Swollen abdomen']"
Acute respiratory distress syndrome,"['Low blood pressure and organ failure ', ' Rapid breathing ', ' Shortness of breath ', ' Fast heartbeat']"
Acute tubular necrosis,"['Decreased consciousness, coma, delirium or confusion, drowsiness, and lethargy ', ' General swelling, fluid retention ', ' Decreased urine output or no urine output ', ' Nausea, vomiting']"
Addison disease,"['Extreme weakness, fatigue, and slow, sluggish movement ', ' Salt craving (eating food with a lot of added salt) ', ' Weight loss with reduced appetite ', ' Low-grade fever ', ' Dizziness when standing up ', ' Dehydration ', ' Chronic diarrhea, nausea, and vomiting ', ' Low blood pressure,Â\xa0especially with a change in body position ', ' Darker skin on the inside of the cheeks and lips (buccal mucosa) ', ' Low blood sugar ', ' Darkening of the skin']"
Adenomyosis,"['Painful menstrual periods, which gets worse ', ' Long-term or heavy menstrual bleeding ', ' Pelvic pain during intercourse']"
Adhesion,"['Constipation ', ' No longer being able to pass gas ', ' Bloating or swelling of your belly ', ' Nausea and vomiting']"
Adjustment disorder,"['Acting defiant or showing impulsive behavior ', ' Skipped heartbeats and other physical complaints ', ' Acting nervous or tense ', ' Trembling or twitching ', ' The symptoms clearly come after a stressor, most often within 3 months ', ' Crying, feeling sad or hopeless, and possibly withdrawing from other people ', ' There do not appear to be other disorders involved ', ' The symptoms are not part of normal grieving for the death of a loved one ', ' The symptoms are more severe than would be expected']"
Adrenergic bronchodilator overdose,"['Shallow breathing ', ' Weakness ', ' Tremor ', ' Rapid heartbeat ', ' No urine output ', ' Dilated pupils ', ' Convulsions (seizures) ', ' Chest pain ', ' Blurred vision ', ' Burning throat ', ' Rapid breathing ', ' Tingling of hands and feet ', ' Fever ', ' Nervousness ', ' High blood pressure, then low blood pressure ', ' Chills ', ' Shock (extremely low blood pressure) ', ' Irritability ', ' Nausea and vomiting ', ' No breathing ', ' Coma ', ' Blue lips and fingernails ', ' Feeling breathless or short of breath']"
Adrenocortical carcinoma,"['Weakness ', ' Obesity ', ' Stunted growth (short stature) ', ' Fatty, rounded hump high on the back just below the neck (buffalo hump) ', ' Pain in the abdomen ', ' Virilization -- the appearance of male characteristics, including increased body hair (especially on the face), pubic hair, acne, deepening of the voice, and enlarged clitoris (females) ', ' Muscle cramps ', ' Flushed, rounded face with pudgy cheeks (moon face)']"
Adrenoleukodystrophy,"['Crossed eyes ', ' Problems with thinking speed and visual memory ', ' Hyperactivity ', ' Difficulty understanding what people are saying ', ' Difficulty controlling urination ', ' Possible worsening muscle weakness or leg stiffness ', ' Decreased appetite ', ' Muscle weakness ', ' Visual impairment or blindness ', ' Increased skin color ', ' Difficulty at school ', ' Worsening nervous system damage, including coma, decreased fine motor control, and paralysisÂ ', ' Hearing loss ', ' Handwriting that gets worse ', ' Loss of weight andÂ\xa0muscle mass (wasting) ', ' Changes in muscle tone, especially muscle spasms and uncontrolled movements ', ' Seizures ', ' Vomiting ', ' Swallowing difficulties ', ' Coma']"
Adult soft tissue sarcoma,"['Blockage or bleeding in the stomach or intestines ', ' Pain, if it presses on a nerve, organ, blood vessel, or muscle ', ' Breathing problems']"
Adult Still disease,"['Joint pain, warmth, and swelling are common. Most often, several joints are involved at the same time. Often, people with the condition have morning stiffness of joints that lasts for at least one hour. ', ' Abdominal pain and swelling ', ' The skin rash is often salmon-pink colored and comes and goes with the fever. ', ' Sore throat ', ' The fever comes on quickly once per day, most commonly in the afternoon or evening. ', ' Weight loss ', ' Pain when taking a deep breath (pleurisy) ', ' Swollen lymph nodes (glands)']"
Aftershave poisoning,"['Weakness ', ' Slurred speech ', ' Nausea and vomiting (may contain blood) ', ' Headache ', ' Low blood sugar ', ' Rapid heart rate ', ' Confusion ', ' Unable to walk normally ', ' Eye irritation (burning, redness, tears) ', ' Change in alertness level (may become unconscious) ', ' Abdominal pain ', ' Unresponsive reflexes ', ' Dizziness ', ' Nausea ', ' Uncoordinated movement ', ' Urination difficulties (too much or too little urine output) ', ' Sleepiness ', ' Slowed breathing ', ' Low body temperature ', ' Stupor ', ' Low blood pressure ', ' Throat pain ', ' Irritability ', ' Coma (decreased level of consciousness and lack of responsiveness)']"
Agammaglobulinemia,"['Chronic diarrhea ', ' Conjunctivitis (eye infection) ', ' Upper respiratory tract infections ', ' Bronchitis (airway infection) ', ' Otitis media (middle ear infection) ', ' Asthma without a known cause ', ' Bronchiectasis (a disease in which the bronchial tubes in the lungs become damaged and enlarged) ', ' Skin infections ', ' Sinusitis (sinus infection) ', ' Pneumonia (lung infection)']"
Age-related hearing loss,"['Having to raise the volume on the TV ', ' Frequently asking people to repeat themselves ', ' Certain sounds seeming overly loud ', ' More difficulty understanding people with higher-pitched voices ', ' Frustration at not being able to hear ', ' Difficulty hearing people around you ', ' Problems hearing in noisy areas ', ' Problems telling apart certain sounds, such as ""s"" or ""th"" ', ' Ringing in the ears']"
Agoraphobia,"['Being afraid of losing control in a public place ', ' Choking ', ' Short of breath ', ' Depending on others ', ' Feeling that the environment is not real ', ' Being afraid of places where escape might be hard ', ' Racing heart ', ' Nausea or other stomach distress ', ' Being afraid of spending time alone ', ' Dizziness or fainting ', ' Having an unusual temper or agitation ', ' Staying in the house for long periods ', ' Sweating ', ' Chest pain or discomfort ', ' Feeling detached or separated from others ', ' Feeling helpless ', ' Trembling ', ' Feeling that the body is not real']"
Agranulocytosis,"['Malaise ', ' General weakness ', ' Bone pain ', ' Chills ', ' Mouth and throat ulcers ', ' Pneumonia ', ' Sore throat ', ' Shock ', ' Fever']"
Aicardi syndrome,"['Intellectual disability ', "" Coloboma (cat's eye) "", ' Smaller-than-normal eyes (microphthalmia)']"
Albinism,"['Vision problems, or functional blindness ', ' Crossed eyes ', ' Light sensitivity ', ' No color in the hair, skin, or iris of the eye ', ' Rapid eye movements ', ' Patches of missing skin color ', ' Lighter than normal skin and hair']"
Alcohol use disorder,"['Spending a lot of time and effort to get alcohol, use it, or recover from its effects ', ' Continuing to drink, even though it is making a health problem caused by alcohol worse ', ' Getting withdrawal symptoms when the effects of alcohol wear off ', ' Needing more and more alcohol to feel its effects or to get drunk (this is called tolerance) ', ' Craving alcohol or having a strong urge to use it ', ' Getting into situations that can cause you to get hurt, such as driving, using machinery, or having unsafe sex while or after drinking ', ' Drinking more or longer than you planned to at times ', ' Wanting to or trying to cut down or stop drinking, but could not ', ' No longer taking part in activities that you used to enjoy ', ' Missing work or school, or not performing as well because of drinking ', ' Continuing to drink, even when it harms your relationships with family and friends']"
Alcohol withdrawal,"['Anxiety or nervousness ', ' Headache ', ' Enlarged (dilated) pupils ', ' Jumpiness or shakiness ', ' Insomnia (sleeping difficulty) ', ' Mood swings ', ' Sweating, clammy skin ', ' Agitation, irritability ', ' Pallor ', ' Not thinking clearly ', "" Seeing or feeling things that aren't there (hallucinations) "", ' Loss of appetite ', ' Depression ', ' Seizures ', ' Tremor of the hands or other body parts ', ' Fatigue ', ' Irritability ', ' Nausea and vomiting ', ' Sudden, severe confusion (delirium) ', ' Nightmares']"
Alcoholic ketoacidosis,"['Fatigue, slow movements ', ' Loss of appetite ', ' Agitation, confusion ', ' Changed level of alertness, which may lead to coma ', ' Nausea and vomiting ', ' Symptoms of dehydration, such as dizziness, lightheadedness, and thirst ', ' Deep, labored, rapid breathing ', ' Abdominal pain']"
Alcoholic liver disease,"['Pale or clay-colored stools ', ' Small, red spider-like blood vessels on the skin ', ' Bleeding in the gastrointestinal tract ', ' Belly pain ', ' Poor appetite and weight loss ', ' Yellow color in the skin, mucous membranes, or eyes (jaundice) ', ' Fluid buildup of the legs (edema) and in the abdomen (ascites) ', ' Nausea ', ' Confusion or problems thinking ', ' Loss of energy ', ' Easy bruising and abnormal bleeding ', ' In men, impotence, shrinking of the testicles, and breast swelling ', ' Redness on the palms of the hands']"
Alcoholic neuropathy,"['Painful sensations in the arms and legs ', ' Muscle problems, including weakness, cramps, aches, or spasms ', ' Nausea, vomiting ', ' Erection problems (impotence) ', ' Constipation or diarrhea ', ' Unsteady gait (walking) ', ' Heat intolerance, especially after exercise ', ' Problems urinating, incontinence (leaking urine), feeling of incomplete bladder emptying, difficulty beginning to urinate ', ' Numbness in the arms and legs ', ' Abnormal sensations, such as ""pins and needles"" ', ' Problems swallowing or talking']"
Alkalosis,"['Hand tremor ', ' Numbness or tingling in the face, hands, or feet ', ' Confusion (can progress to stupor or coma) ', ' Nausea, vomiting ', ' Lightheadedness ', ' Muscle twitching ', ' Prolonged muscle spasms (tetany)']"
Alkaptonuria,"['Darkening of the ear ', ' Arthritis (especially of the spine) that gets worse over time ', ' Dark spots on the white of the eye and cornea']"
Allergic conjunctivitis,"['Puffy eyelids, most often in the morning ', ' Intense itching or burning eyes ', ' Red eyes ', ' Widened blood vessels in the clear tissue covering the white of the eye ', ' Tearing (watery eyes) ', ' Stringy eye discharge']"
Allergic reactions,"['Difficulty breathing, wheezing ', ' Chest discomfort or tightness ', ' Flushing or redness of the face ', ' Cough ', ' Difficulty swallowing ', ' Anxiety ', ' Diarrhea ', ' Hives (especially over the neck and face) ', ' Abdominal pain ', ' Unconsciousness ', ' Itching ', ' Nasal congestion ', ' Abnormal (high-pitched) breathing sounds ', ' Watery, red eyes ', ' Swelling of the face, eyes, or tongue ', ' Dizziness or lightheadedness ', ' Rashes ', ' Palpitations ', ' NauseaÂ\xa0or vomiting']"
Allergic rhinitis,"['Problems with smell ', ' Watery eyes ', ' Coughing ', ' Clogged ears and decreased sense of smell ', ' Itchy nose, mouth, eyes, throat, skin, or any area ', ' Fatigue and irritability ', ' Headache ', ' Dark circles under the eyes ', ' Sore throat ', ' Puffiness under the eyes ', ' Sneezing ', ' Stuffy nose (nasal congestion) ', ' Runny nose']"
Allergies,"['Allergens that touch the eyes may cause itchy, watery, red, swollen eyes. ', ' Eating something you are allergic to can cause nausea, vomiting, abdominal pain, cramping, diarrhea, or a severe, life-threatening reaction. ', ' Allergens that you breathe in often cause a stuffy nose, itchy nose and throat, mucus, cough, and wheezing. ', ' Drug allergies usually involve the whole body and can lead to a variety of symptoms. ', ' Allergens that touch the skin can cause a skin rash, hives, itching, blisters, or skin peeling.']"
Aloe,"['Vomiting ', ' Skin irritation ', ' Throat swelling (which may also cause breathing difficulty) ', ' Loss of vision ', ' Rash ', ' Breathing difficulty (from breathing in a product that contains aloe) ', ' Diarrhea ', ' Severe abdominal pain']"
Alpha-1 antitrypsin deficiency,"['Loss of weight without trying ', ' Coughing ', ' Symptoms of liver failure ', ' Wheezing ', ' Shortness of breath with and without exertion, and other symptoms of COPD']"
Alport syndrome,"['Macular hole in which there is thinning or a break in the macula. The macula is a part of the retina that makes central vision sharper and more detailed. A macular hole causes blurred or distorted central vision. ', "" Abnormal coloring of the retina, a condition called dot-and-fleck retinopathy. It doesn't cause vision problems, but can help diagnose Alport syndrome. "", ' Flank pain ', ' Swelling throughout the body (edema) ', ' Abnormal urine color ', ' Excessive thirst ', ' Fatigue ', ' Abnormal shape of the lens (anterior lenticonus), which can lead to a slow decline in vision as well as cataracts. ', ' High blood pressure ', ' Poor appetite ', ' Corneal erosion in which there is damage to the outer layer of the covering of the eyeball, leading to pain, itching, redness of the eye, or blurred vision. ', ' Blood in the urine that is visible during a cold or flu or exercise']"
Alstrom syndrome,"['Slowed growth ', ' Hypothyroidism ', ' Blindness or severe vision impairment in infancy ', ' Impaired heart function (cardiomyopathy), which may lead to heart failure ', ' Dark patches of skin (acanthosis nigricans) ', ' Obesity ', ' Liver dysfunction ', ' Small penis ', ' Progressive kidney failure ', ' Symptoms of childhood-onset or type 2 diabetes ', ' Gastrointestinal reflux']"
Alzheimer disease,"['Understand language ', ' Difficulty solving problems ', ' Poor judgment and loss of ability to recognize danger ', ' Forgetting details about current events ', ' Memory ', ' Losing interest in things previously enjoyed and being in a flat mood ', ' Difficulty reading or writing ', ' Delusions, depression, and agitation ', ' Language problems, such as trouble remembering the names of familiar objects ', ' Recognize family members ', ' Thinking and judgment (cognitive skills) ', ' Change in sleep patterns, often waking up at night ', ' Language ', ' Misplacing items ', ' Perception ', ' Problems controlling bowel movements or urine ', ' Emotional behavior or personality ', ' Difficulty performing tasks that take some thought, but used to come easily, such as balancing a checkbook, playing complex games (bridge), and learning new information or routines ', "" Forgetting events in one's life history and losing self-awareness "", ' Forgetting recent events or conversations ', ' Personality changes and loss of social skills ', ' Hallucinations, arguments, striking out, and violent behavior ', ' Withdrawing from social contact ', ' Difficulty performing more than one task at a time ', ' Swallowing problems ', ' Perform basic activities of daily living, such as eating, dressing, and bathing ', ' Taking longer to perform more difficult activities ', ' Difficulty doing basic tasks, such as preparing meals, choosing proper clothing, and driving ', ' Getting lost on familiar routes ', ' Using the wrong word, mispronouncing words, or speaking in confusing sentences']"
Amblyopia,"['Poor vision in one eye ', ' Inability to judge depth correctly ', ' Eyes that do not appear to work together ', ' Eyes that turn in or out']"
Amebiasis,"['Unintentional weight loss ', ' Vomiting ', ' Abdominal tenderness ', ' Fatigue ', ' Abdominal cramps ', ' Rectal pain while having a bowel movement (tenesmus) ', ' Bloody stools, including passage of liquid stools with streaks of blood, passage of 10 to 20 stools per day ', ' Fever ', ' Excessive gas ', ' Diarrhea: passage of 3 to 8 semiformed stools per day, or passage of soft stools with mucus and occasional blood']"
Amebic liver abscess,"['Fever and chills ', ' Hiccups that do not stop (rare) ', ' Cough ', ' Loss of appetite ', ' Diarrhea, non-bloody (in only one-third of people with amebic liver abscess) ', ' Jaundice\r\n   (yellowing of the skin, mucous membranes, or eyes) ', ' Weight loss ', ' General discomfort, uneasiness, or ill feeling (malaise) ', ' Sweating ', ' Abdominal pain, more so in the right, upper part of the abdomen; pain is intense, continuous or stabbing']"
